CSA_Type,Number_of_Cases,Penetrative,Source_Year,Department,Data_Source,Page
Rape,19,Yes,2022,Police,HKP Child Sexual Abuse Figure 2022 Updated.pdf,1
Unlawful Sexual Intercourse,168,Yes,2022,Police,HKP Child Sexual Abuse Figure 2022 Updated.pdf,1
Buggery,13,Yes,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Gross Indecency,0,No,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Incest,0,Yes,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Indecent Assault,458,No,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Indecent Conduct towards child under 16,49,No,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Rape,20,Yes,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Unlawful Sexual Intercourse,156,Yes,2023,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Buggery,16,Yes,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Gross Indecency,5,No,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Incest,0,Yes,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Indecent Assault,413,No,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Indecent Conduct towards child under 16,52,No,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Rape,24,Yes,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
Unlawful Sexual Intercourse,153,Yes,2024,Police,HKPF Child Sexual Abuse Cases Statistics 2023-24.txt,1
