Relationship,Number_of_Cases,Source_Year,Department,Data_Source,Page
Family Member,77,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Relative,8,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Domestic Helper,5,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Others,8,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Employer / Employee / Colleagues,1,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Neighborhood / Schoolmate / Friend / Known Person,266,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Stranger,163,2023,Police,HKPF CSA Statistics 2023-24.txt,NA
Ex-spouse / Boy-friend / Girl-friend,159,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
Family Member,82,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
Relative,6,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
Others,12,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
Employer / Employee / Colleagues,3,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
Neighborhood / Schoolmate / Friend / Known Person,240,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
Stranger,160,2024,Police,HKPF CSA Statistics 2023-24.txt,NA
